key,score
54324302dabfaeb54214beb8,22.41176471
54053dcddabfae91d3fcab5d,22.35294118
53f450a0dabfaee02ad425bf,22.29411765
53f556cddabfaea7cd1d8bf5,22.23529412
53f7f8e1dabfae7f97a3887b,22.17647059
53f471acdabfaee4dc87ad2e,21.88235294
540834ffdabfae92b422fc76,21.88235294
548e36cddabfaef989f0929d,21.88235294
53f449d4dabfaeee22a051a2,21.82352941
54852d2fdabfae9b40133460,21.76470588
53f445bcdabfaee4dc7ce5dc,21.70588235
53f43fcadabfaefedbb03677,21.52941176
53f63848dabfaebcd19bf11f,21.52941176
5487331bdabfae9b4013433c,21.52941176
53f42d52dabfaee0d9afbf01,21.35294118
53f44feddabfaee1c0b1303e,21.35294118
5434303fdabfaebba584cfdd,21.29411765
53f452aedabfaeecd69dd342,21.23529412
53f48d40dabfaea7cd1d1cba,20.88235294
54111a35dabfae44f090ecb0,20.64705882
54094f1bdabfae450f475f71,20.47058824
53f45225dabfaee43ecac673,20.35294118
53f488d4dabfaeb22f5711d9,20.23529412
53f43a34dabfaee43ec537f3,20
53f5a9bedabfae1c48f8049a,20
53f7dd31dabfae7f97a30c07,20
54876f29dabfae8a11fb3a2c,20
53f7c569dabfae92b40e1435,19.94117647
5406a0fcdabfae44f0849adb,19.94117647
53f44c9cdabfaee2a1d4d9f5,19.88235294
544865a3dabfae87b7e19447,19.88235294
548504d9dabfaed7b5fa1e2d,19.47058824
54878882dabfae8a11fb3b4d,19.47058824
53f63433dabfaeace29bf11f,19.17647059
53f42ba6dabfaeb22f3ed6d8,19
548a6fe7dabfaed7b5fa415e,19
53f436b1dabfaedd74da329a,18.94117647
53f436d7dabfaedce5533103,18.94117647
53f4650ddabfaedf43640b76,18.82352941
5406ac74dabfae8faa6189ab,18.70588235
548cb66cdabfaed7b5fa466c,18.64705882
53f43325dabfaee1c0a7c515,18.52941176
53f47ee4dabfae9126cc5137,18.52941176
53f5594ddabfae39bcf8045b,18.52941176
53f7ce7ddabfae92b40e594c,18.47058824
53f46741dabfaee2a1db23c8,18.41176471
53f466e7dabfaec09f241bed,18.17647059
