score,name
1.941176471,Thomas G. Dietterich
1.941176471,Kristian Rother
1.941176471,D. Joseph
1.941176471,Serafim Batzoglou
1.941176471,Giorgio A. Ascoli
1.941176471,Enrico Franconi
1.941176471,Paulo F. Pires
1.941176471,David Leeuwen
1.941176471,Arjan Kuijper
1.941176471,Dragomir Radev
1.941176471,Djoerd Hiemstra
1.941176471,R. Manmatha
1.941176471,Paul Groth
1.941176471,Pedro Gómez Vilda
1.882352941,Cliff Young
1.882352941,Tran Cao Son
1.882352941,R A Harte
1.882352941,Thomas Mauthner
1.882352941,James F. Brinkley
1.882352941,Melissa S. Cline
1.882352941,Wendell D. Jones
1.882352941,R. P. Jagadeesh Chandra Bose
1.882352941,Rudy Hirschheim
1.882352941,Yoshua Bengio
1.882352941,Michael C Schatz
1.882352941,ebroul izquierdo
1.882352941,Carla P. Gomes
1.882352941,Brahim Hnich
1.882352941,William D. Gropp
1.882352941,G BARKER
1.882352941,dietrich rebholzschuhmann
1.882352941,Tom Rodden
1.882352941,Stefan Szeider
1.882352941,Erwin Laure
1.882352941,Paul E. Rybski
1.882352941,Aaron D. Ames
1.882352941,Twan Basten
1.882352941,Sven Koenig
1.882352941,David E. Shaw
